Date,rstar,g,z,output gap,,All results are output from the Stage 3 model.,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap
1961-01-01,5.2702302088235,5.25549441404093,0.014735794782569,-4.10786153395509,,Parameter Point Estimates,,,,,,,,,,,,,,,-3.4496425468235
1961-04-01,5.72765371674927,5.69707854277146,0.0305751739778077,-4.1591433885128,,a_1,a_2,a_3,b_1,b_2,sigma_1,sigma_2,sigma_4,a_1 + a_2,,,,,,,-3.85528753774927
1961-07-01,5.64213929202569,5.60716941063094,0.0349698813947464,-3.51552782145154,,1.55561100352463,-0.615426259321798,-0.0592647109762569,0.668279498182219,0.0833843192375462,0.341616484834234,0.785362485757515,0.573085057857627,0.94018474420283,,,,,,,-3.81445386902569
1961-10-01,5.51811345162731,5.48957979946815,0.0285336521591654,-2.81301496864364,,,,,,,,,,,,,,,,,-3.60462012662731
1962-01-01,5.21580589665376,5.18749788131761,0.028308015336148,-1.82490031052987,,,,,,,,,,,,,,,,,-3.50009228765376
1962-04-01,4.5944858778183,4.58232350375434,0.0121623740639676,-0.969887401420351,,,,,,,,,,,,,,,,,-2.93322774181831
1962-07-01,4.41605707023594,4.41220754711292,0.00384952312302595,-0.518416205613107,,,,,,,,,,,,,,,,,-2.64919953323594
1962-10-01,3.94477938660042,3.97098738395503,-0.0262079973546081,-0.24770019067148,,,,,,,,,,,,,,,,,-2.12320122360042
1963-01-01,3.91082319190957,3.92918531791131,-0.0183621260017469,-0.0000843717269845001,,,,,,,,,,,,,,,,,-2.05366898090957
1963-04-01,3.88214685649379,3.89563545546788,-0.0134885989740936,0.257581278925954,,,,,,,,,,,,,,,,,-2.01812252549379
1963-07-01,4.19010019315871,4.18434182088753,0.00575837227117754,0.577333427511576,,,,,,,,,,,,,,,,,-1.94946958915871
1963-10-01,3.95215545205835,3.94381861803114,0.00833683402721163,1.03461629402,,,,,,,,,,,,,,,,,-1.91447205305835
1964-01-01,4.21667435225825,4.19942205925362,0.0172522930046258,1.22961334250476,,,,,,,,,,,,,,,,,-2.26749071225825
1964-04-01,4.13139341241091,4.14135226536094,-0.00995885295002388,1.39208600265249,,,,,,,,,,,,,,,,,-2.10632710841091
1964-07-01,4.20753915829095,4.22853116664952,-0.0209920083585679,1.52491187863404,,,,,,,,,,,,,,,,,-2.07456615829095
1964-10-01,3.96464014542597,4.01894283179795,-0.0543026863719761,1.5302686073735,,,,,,,,,,,,,,,,,-1.38417162042597
1965-01-01,4.31040350856632,4.32778636945121,-0.0173828608848858,1.72617215640025,,,,,,,,,,,,,,,,,-1.40490877356632
1965-04-01,4.28866368957181,4.32010515600078,-0.0314414664289748,1.89135457653742,,,,,,,,,,,,,,,,,-1.28704586757181
1965-07-01,4.5122718829375,4.53473439809813,-0.0224625151606331,2.08679724691922,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,-1.5451305649375
1965-10-01,4.7120417621129,4.72168265121127,-0.00964088909837236,2.42375329268339,,lambda_g,0.0535600751516372,,,-537.940751852705,,,,,,,,,,,-1.7273469451129
1966-01-01,4.93418042801994,4.89955949152803,0.0346209364919029,2.95189698271201,,lambda_z,0.0288716595138546,,,,,,,,,,,,,,-1.66021328701994
1966-04-01,4.7354965242524,4.6468904649862,0.0886060592662031,3.38478353058281,,,,,,,,,,,,,,,,,-1.5743251152524
1966-07-01,4.71841718042174,4.61099316922428,0.107424011197463,3.28345553631812,,,,,,,,,,,,,,,,,-1.54117109642174
1966-10-01,4.71017630326987,4.58715474595581,0.12302155731406,3.10001030712453,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t-1} g_{t-2} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,-1.89990715226987
1967-01-01,4.6418265085146,4.61044177072317,0.0313847377914297,2.50141760619954,,Initial State Vector,,,,,,,,,,,,,,,-2.6791537585146
1967-04-01,4.44776479032663,4.44336021102496,0.00440457930166268,2.15775316544705,,811.208017567492,810.047349359143,808.886775905172,1.16066820834941,1.1605734539712,0,0,,,,,,,,,-3.22180532132663
1967-07-01,4.49925441522004,4.44419392665823,0.0550604885618094,2.1012445456945,,,,,,,,,,,,,,,,,-3.45616973522004
1967-10-01,4.46983997034808,4.38030873114389,0.0895312392041859,2.13368974491459,,Initial Covariance Matrix,,,,,,,,,,,,,,,-3.27290447334808
1968-01-01,4.70438015765403,4.53668577523992,0.16769438241411,2.45548551863931,,0.728579057392048,0.2,0,0.200939892460342,0.2,0,0,,,,,,,,,-3.43699974865403
1968-04-01,4.78005687753606,4.58432048441307,0.195736393122987,2.80181397944784,,0.2,0.2,0,0,0,0,0,,,,,,,,,-2.72546100353606
1968-07-01,4.64707737886696,4.48472050646918,0.16235687239778,2.85492459251668,,0,0,0.2,0,0,0,0,,,,,,,,,-2.83867359486696
1968-10-01,4.49949651788956,4.35536643790897,0.144130079980591,2.73753298581619,,0.200939892460342,0,0,0.200939892460342,0.2,0,0,,,,,,,,,-2.87316617688956
1969-01-01,4.58513093195092,4.47007168691453,0.11505924503639,2.56473007857699,,0.2,0,0,0.2,0.2,0,0,,,,,,,,,-2.21752157895092
1969-04-01,4.42606628728627,4.31981753622466,0.106248751061614,2.49180134062351,,0,0,0,0,0,0.227933321072583,0.2,,,,,,,,,-0.160567162286269
1969-07-01,4.36545731707495,4.2918403514044,0.0736169656705402,2.14737385207832,,0,0,0,0,0,0.2,0.2,,,,,,,,,0.584774234925056
1969-10-01,4.11405613812304,4.07798288074791,0.0360732573751378,1.59753459678166,,,,,,,,,,,,,,,,,0.782409769876955
1970-01-01,3.96457064654329,3.98484649318348,-0.020275846640189,0.794982442100718,,,,,,,,,,,,,,,,,0.512428038456706
1970-04-01,3.90504657048888,3.93496163586024,-0.0299150653713636,0.176383823846322,,,,,,,,,,,,,,,,,-0.110848953488878
