Date,rstar,g,z,output gap,,All results are output from the Stage 3 model.,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap
1961-01-01,5.23082427325254,5.21649057094645,0.0143337023060818,-4.06702384526795,,Parameter Point Estimates,,,,,,,,,,,,,,,-3.41023661125254
1961-04-01,5.61498762917445,5.58665772151,0.028329907664457,-4.02750013273521,,a_1,a_2,a_3,b_1,b_2,sigma_1,sigma_2,sigma_4,a_1 + a_2,,,,,,,-3.74262145017445
1961-07-01,5.49539919880455,5.46394125905185,0.0314579397527024,-3.3154512544312,,1.53193626461993,-0.591028845462332,-0.0736701969737535,0.66956280019363,0.0801167850402925,0.33472223274135,0.785672563084593,0.571951396969472,0.940907419157595,,,,,,,-3.66771377580455
1961-10-01,5.35661581712457,5.33202820061696,0.0245876165076112,-2.56030587899522,,,,,,,,,,,,,,,,,-3.44312249212457
1962-01-01,5.08166579230954,5.05652183319456,0.0251439591149787,-1.58293185561172,,,,,,,,,,,,,,,,,-3.36595218330954
1962-04-01,4.49946087832865,4.4872238298952,0.0122370484334527,-0.774792089318339,,,,,,,,,,,,,,,,,-2.83820274232865
1962-07-01,4.32626461838369,4.32127876890119,0.0049858494824947,-0.313204846470057,,,,,,,,,,,,,,,,,-2.55940708138369
1962-10-01,3.8726148793475,3.89274106317467,-0.0201261838271708,-0.0613083494963576,,,,,,,,,,,,,,,,,-2.0510367163475
1963-01-01,3.83967529353917,3.85255544853898,-0.0128801549998109,0.202919379139985,,,,,,,,,,,,,,,,,-1.98252108253917
1963-04-01,3.81241816427028,3.82088600996007,-0.00846784568978315,0.474183329558059,,,,,,,,,,,,,,,,,-1.94839383327028
1963-07-01,4.10338038862806,4.09870936436789,0.00467102426016256,0.848753303925491,,,,,,,,,,,,,,,,,-1.86274978462806
1963-10-01,3.88724483660885,3.87687035016361,0.0103744864452397,1.26535633374783,,,,,,,,,,,,,,,,,-1.84956143760885
1964-01-01,4.13665786285316,4.12317884224049,0.0134790206126617,1.50945858879038,,,,,,,,,,,,,,,,,-2.18747422285316
1964-04-01,4.05561583208268,4.06603583981692,-0.0104200077342434,1.67606079980851,,,,,,,,,,,,,,,,,-2.03054952808268
1964-07-01,4.12712406304572,4.14981437219962,-0.0226903091539028,1.83504743676747,,,,,,,,,,,,,,,,,-1.99415106304572
1964-10-01,3.89716382795626,3.94553869553621,-0.0483748675799475,1.82366761485684,,,,,,,,,,,,,,,,,-1.31669530295627
1965-01-01,4.22707149435846,4.2506940026703,-0.0236225083118318,2.06655374702621,,,,,,,,,,,,,,,,,-1.32157675935846
1965-04-01,4.21125251658101,4.24778057117235,-0.0365280545913344,2.22399827553591,,,,,,,,,,,,,,,,,-1.20963469458101
1965-07-01,4.42908330201768,4.46389196861961,-0.0348086666019255,2.43766968120246,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,-1.46194198401768
1965-10-01,4.62664569475447,4.65584360582225,-0.0291979110677806,2.77856824905166,,lambda_g,0.0535600751516372,,,-535.41273404493,,,,,,,,,,,-1.64195087775447
1966-01-01,4.84715137311227,4.84328247969035,0.00386889342191789,3.29807754778972,,lambda_z,0.0293421166789213,,,,,,,,,,,,,,-1.57318423211227
1966-04-01,4.66659678656259,4.60939899252442,0.0571977940381692,3.65967101057208,,,,,,,,,,,,,,,,,-1.50542537756259
1966-07-01,4.65107157261236,4.57726063028009,0.0738109423322669,3.55103386231076,,,,,,,,,,,,,,,,,-1.47382548861236
1966-10-01,4.64173911844709,4.55456172076731,0.0871773976797729,3.37063577170215,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t-1} g_{t-2} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,-1.83146996744709
1967-01-01,4.57355189293368,4.56664151693958,0.00691037599409712,2.80970628847058,,Initial State Vector,,,,,,,,,,,,,,,-2.61087914293368
1967-04-01,4.3838709493936,4.39618003368189,-0.0123090842882877,2.47104226125896,,811.208017567492,810.047349359143,808.886775905172,1.16066820834941,1.1605734539712,0,0,,,,,,,,,-3.1579114803936
1967-07-01,4.42414412699224,4.39484958064528,0.029294546346959,2.44306318556858,,,,,,,,,,,,,,,,,-3.38105944699224
1967-10-01,4.38625648881106,4.3276001755421,0.0586563132689534,2.50035715074262,,Initial Covariance Matrix,,,,,,,,,,,,,,,-3.18932099181106
1968-01-01,4.60083604639152,4.48280110734089,0.118034939050632,2.86477975951982,,0.726735474368954,0.2,0,0.200934618935617,0.2,0,0,,,,,,,,,-3.33345563739152
1968-04-01,4.66783814383365,4.52962323983443,0.138214903999218,3.23269437201122,,0.2,0.2,0,0,0,0,0,,,,,,,,,-2.61324226983364
1968-07-01,4.53855862460206,4.42737765363511,0.111180970966947,3.29086079778187,,0,0,0.2,0,0,0,0,,,,,,,,,-2.73015484060206
1968-10-01,4.39427350728077,4.29637855871619,0.0978949485645735,3.17426854369774,,0.200934618935617,0,0,0.200934618935617,0.2,0,0,,,,,,,,,-2.76794316628077
1969-01-01,4.4740159703245,4.40638089771353,0.0676350726109743,3.03918814105498,,0.2,0,0,0.2,0.2,0,0,,,,,,,,,-2.1064066173245
1969-04-01,4.31948446733684,4.25673782758627,0.0627466397505612,2.95623315569424,,0,0,0,0,0,0.217930364639773,0.2,,,,,,,,,-0.0539853423368344
1969-07-01,4.2635939575133,4.22943260860128,0.0341613489120146,2.60992099186728,,0,0,0,0,0,0.2,0.2,,,,,,,,,0.686637594486702
1969-10-01,4.02843167597922,4.02069648041257,0.007735195566654,2.01632032516272,,,,,,,,,,,,,,,,,0.86803423202078
1970-01-01,3.89283361800928,3.93093519347828,-0.038101575468992,1.1871096277697,,,,,,,,,,,,,,,,,0.584165066990717
1970-04-01,3.84072439382197,3.88714857030751,-0.0464241764855456,0.540245570672596,,,,,,,,,,,,,,,,,-0.0465267768219677
1970-07-01,3.90373177962036,3.95720915423696,-0.0534773746165975,0.124799000212079,,,,,,,,,,,,,,,,,-1.34653006162036
1970-10-01,3.62894121273471,3.60851807702169,0.0204231357130229,-0.0508520868640971,,,,,,,,,,,,,,,,,-2.53418616173471
1971-01-01,4.00794071180357,3.97135192562261,0.0365887861809591,-0.0191763152928388,,,,,,,,,,,,,,,,,-4.89819423280357
1971-04-01,3.79630927621693,3.81369041722551,-0.0173811410085856,0.176748802057432,,,,,,,,,,,,,,,,,-3.95401359321693
1971-07-01,3.61242451085215,3.72930862257964,-0.116884111727498,0.227133119974042,,,,,,,,,,,,,,,,,-2.63665729785215
1971-10-01,3.25212344279106,3.5691572664935,-0.317033823702439,-0.140977819108684,,,,,,,,,,,,,,,,,-2.22124011079106
1972-01-01,3.4589393573026,3.68388902357936,-0.224949666276755,0.432945583164383,,,,,,,,,,,,,,,,,-3.3942080793026
1972-04-01,3.53548377707477,3.85053989194886,-0.31505611487409,0.730801471008704,,,,,,,,,,,,,,,,,-2.21495641607477
1972-07-01,3.42348733842989,3.74468127090957,-0.321193932479679,1.21694096749547,,,,,,,,,,,,,,,,,-1.44727874442989
1972-10-01,3.45580479778139,3.82606550018232,-0.370260702400928,1.43085061140164,,,,,,,,,,,,,,,,,-1.10521382978139
1973-01-01,3.68142242905057,4.03814127339607,-0.356718844345501,1.90124025604871,,,,,,,,,,,,,,,,,0.422915929949428
1973-04-01,3.86647597803596,3.96561406794436,-0.0991380899084012,2.8934165310975,,,,,,,,,,,,,,,,,0.95784220396404
1973-07-01,3.64080418514737,3.7112780071314,-0.0704738219840256,2.69341696431786,,,,,,,,,,,,,,,,,3.66427942685263
1973-10-01,3.82609507635185,3.81705725238772,0.0090378239641325,2.35783854490126,,,,,,,,,,,,,,,,,2.08896659964815
1974-01-01,3.73351902276568,3.58902227539483,0.144496747370849,1.95522054232367,,,,,,,,,,,,,,,,,0.433643808234317
1974-04-01,4.0779297077099,3.56640930095378,0.51152040675612,2.18156712293694,,,,,,,,,,,,,,,,,1.1444488452901
1974-07-01,4.0975248637506,3.32127319875134,0.776251664999265,2.1069607215793,,,,,,,,,,,,,,,,,0.597338928249396
1974-10-01,3.96952339084059,3.25174370515553,0.717779685685059,1.10986827104682,,,,,,,,,,,,,,,,,-3.41912071784059
1975-01-01,3.48809482384045,3.01463808868203,0.47345673515842,-0.260433261180765,,,,,,,,,,,,,,,,,-6.50550843684045
1975-04-01,3.26601192232003,3.07876325213168,0.187248670188351,-1.20703494548775,,,,,,,,,,,,,,,,,-6.29852055932003
1975-07-01,3.23804757429329,3.17841925222734,0.0596283220659512,-1.03287209100563,,,,,,,,,,,,,,,,,-4.15035351729329
1975-10-01,3.18979137053872,3.13499315917085,0.0547982113678752,-0.285004860263484,,,,,,,,,,,,,,,,,-4.10014148953872
1976-01-01,3.27416304400388,3.26121794975342,0.0129450942504583,0.446448635445222,,,,,,,,,,,,,,,,,-4.38485051400388
1976-04-01,2.95280288146065,3.11869366833041,-0.16589078686976,0.708174752705759,,,,,,,,,,,,,,,,,-3.34878689946065
1976-07-01,2.8982071477796,2.96824721064239,-0.0700400628627905,1.41097240407271,,,,,,,,,,,,,,,,,-3.2634702417796
1976-10-01,2.83693413243504,2.90392528621111,-0.0669911537760717,1.71527021396253,,,,,,,,,,,,,,,,,-3.58098959743503
1977-01-01,2.91928601342371,2.92488514952514,-0.00559913610143382,2.18147153171174,,,,,,,,,,,,,,,,,-4.04644154442371
1977-04-01,3.03008213344966,3.0757268075087,-0.0456446740590361,2.55110860687648,,,,,,,,,,,,,,,,,-3.95414820244966
1977-07-01,3.14899843177321,3.16044230456132,-0.0114438727881163,3.21846391656993,,,,,,,,,,,,,,,,,-3.46491899977321
1977-10-01,2.79941234490881,2.95627005153128,-0.156857706622476,3.15687564073028,,,,,,,,,,,,,,,,,-2.25118539290881
1978-01-01,2.69993508163122,2.87352563879726,-0.173590557166043,3.11314564076702,,,,,,,,,,,,,,,,,-1.77361397463122
1978-04-01,3.34839465579223,3.41086632700227,-0.0624716712100398,3.74409760459685,,,,,,,,,,,,,,,,,-2.03498158879223
1978-07-01,3.27161349636524,3.35872433599086,-0.0871108396256145,4.10229257414596,,,,,,,,,,,,,,,,,-1.11844353336524
1978-10-01,3.37239351223054,3.42587720859177,-0.053483696361233,4.33021935653426,,,,,,,,,,,,,,,,,0.0907641537694586
1979-01-01,3.0428400114061,3.35210720849598,-0.309267197089887,3.53012153350517,,,,,,,,,,,,,,,,,1.1591721105939
1979-04-01,3.27498912820571,3.26308169304737,0.011907435158339,3.84941096403713,,,,,,,,,,,,,,,,,0.584148320794287
1979-07-01,3.25780842541308,3.36609406409322,-0.108285638680136,3.03698897533582,,,,,,,,,,,,,,,,,1.33348167758692
1979-10-01,3.34060403362496,3.33908502576185,0.00151900786311189,2.78591588068355,,,,,,,,,,,,,,,,,3.99153449737504
