Date,rstar,g,z,output gap,,All results are output from the Stage 3 model.,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap
1961-01-01,5.20166922957612,5.18791760643072,0.0137516231454014,-4.04136006735087,,Parameter Point Estimates,,,,,,,,,,,,,,,-3.38108156757612
1961-04-01,5.55050559116431,5.52379811712172,0.0267074740425828,-3.95877162093257,,a_1,a_2,a_3,b_1,b_2,sigma_1,sigma_2,sigma_4,a_1 + a_2,,,,,,,-3.67813941216431
1961-07-01,5.42147820860861,5.39218448443934,0.0292937241692725,-3.22214843751544,,1.51890032961176,-0.578326404425929,-0.0795174028376565,0.671478937136359,0.0775169098997227,0.33355031661519,0.786295938078156,0.570289999945044,0.940573925185833,,,,,,,-3.59379278560861
1961-10-01,5.2815755697263,5.25918471941413,0.0223908503121737,-2.44916639764847,,,,,,,,,,,,,,,,,-3.3680822447263
1962-01-01,5.02154741788355,4.99835610262018,0.0231913152633742,-1.48227860262989,,,,,,,,,,,,,,,,,-3.30583380888355
1962-04-01,4.45800663561003,4.44647960814634,0.0115270274636893,-0.697665709582452,,,,,,,,,,,,,,,,,-2.79674849961003
1962-07-01,4.28912407968688,4.28434658749249,0.0047774921943814,-0.235681294330107,,,,,,,,,,,,,,,,,-2.52226654268688
1962-10-01,3.8439922776455,3.86222202442019,-0.0182297467746944,0.00810968422479164,,,,,,,,,,,,,,,,,-2.0224141146455
1963-01-01,3.81232589828415,3.82355051520306,-0.0112246169189059,0.275302096667133,,,,,,,,,,,,,,,,,-1.95517168728415
1963-04-01,3.78602093318952,3.79300779336044,-0.00698686017092121,0.549823250250938,,,,,,,,,,,,,,,,,-1.92199660218952
1963-07-01,4.07086782175849,4.06698316374987,0.00388465800861754,0.943305211648294,,,,,,,,,,,,,,,,,-1.83023721775848
1963-10-01,3.86285518954575,3.85221939213643,0.0106357974093192,1.34321565921175,,,,,,,,,,,,,,,,,-1.82517179054575
1964-01-01,4.10719040737079,4.09545416089468,0.0117362464761049,1.60469064423035,,,,,,,,,,,,,,,,,-2.15800676737079
1964-04-01,4.02827572273701,4.03885892298237,-0.0105832002453579,1.77504930081204,,,,,,,,,,,,,,,,,-2.00320941873701
1964-07-01,4.09868239934895,4.12166554177495,-0.0229831424259954,1.94458246626948,,,,,,,,,,,,,,,,,-1.96570939934895
1964-10-01,3.87418459409115,3.91965411134234,-0.0454695172511919,1.92866200589685,,,,,,,,,,,,,,,,,-1.29371606909115
1965-01-01,4.19844750178287,4.22360362029338,-0.0251561185105106,2.18645608577663,,,,,,,,,,,,,,,,,-1.29295276678287
1965-04-01,4.18511926943922,4.22252641324444,-0.037407143805229,2.34226160247749,,,,,,,,,,,,,,,,,-1.18350144743922
1965-07-01,4.40113604328429,4.43930742205029,-0.0381713787660072,2.56253360786468,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,-1.43399472528429
1965-10-01,4.59809246822688,4.63315905753634,-0.0350665893094548,2.90476649198683,,lambda_g,0.0535600751516372,,,-534.341518673998,,,,,,,,,,,-1.61339765122688
1966-01-01,4.81806409550171,4.82422911310115,-0.0061650175994391,3.41852036816647,,lambda_z,0.0293461465103818,,,,,,,,,,,,,,-1.54409695450171
1966-04-01,4.64439393848781,4.59775313992574,0.0466407985620656,3.74819073404217,,,,,,,,,,,,,,,,,-1.48322252948781
