rstar,g,z,output gap
01.01.1961,5.25412757423685,5.23944874578407,0.0146788284527737,-4.08947585617182
01.04.1961,5.67579964094459,5.64613424846042,0.0296653924841754,-4.09607491952409
01.07.1961,5.57115531843972,5.53777057314104,0.0333847452986817,-3.41618009901413
01.10.1961,5.43750512962794,5.41084617091277,0.0266589587151767,-2.68474936425116
01.01.1962,5.14817561747871,5.12135079694546,0.0268248205332465,-1.70057515161625
01.04.1962,4.54621257128892,4.53387108399198,0.0123414872969472,-0.868637008570545
01.07.1962,4.36970550648597,4.36516403062403,0.00454147586194308,-0.41057914782607
01.10.1962,3.90702564614717,3.93001876915199,-0.0229931230048276,-0.149102022748821
01.01.1963,3.87331965076958,3.88880663250548,-0.0154869817358981,0.108209434774949
01.04.1963,3.84522607150124,3.85610373943713,-0.0108776679358878,0.373657197209582
01.07.1963,4.14405652560529,4.1389110919456,0.00514543365968971,0.723084732905136
01.10.1963,3.91765706704673,3.90828537984177,0.00937168720496087,1.15916398085562
01.01.1964,4.17396254772951,4.15876555230418,0.0151969954253303,1.38076964343918
01.04.1964,4.09072824542099,4.10105899153607,-0.0103307461150787,1.54526982369305
01.07.1964,4.16421492480185,4.18629487152239,-0.0220799467205383,1.69211039846471
01.10.1964,3.927992825317,3.97944527647644,-0.0514524511594441,1.68840376276285
01.01.1965,4.26527200323411,4.28625530797062,-0.0209833047365167,1.90999973876956
01.04.1965,4.24659785818525,4.28106613927923,-0.0344682810939818,2.07096700925717
01.07.1965,4.46705862870417,4.49640774997303,-0.0293491212688609,2.27632254434786
01.10.1965,4.66560301439206,4.68595585703726,-0.0203528426452026,2.61560258081249
01.01.1966,4.88684126178127,4.86884919760446,0.0179920641768108,3.13995000721957
01.04.1966,4.69771314383611,4.62607607226522,0.0716370715708838,3.53638448745937
01.07.1966,4.68129415842889,4.59207491377368,0.0892192446552117,3.43203629914376
01.10.1966,4.67236373478431,4.56882923272182,0.103534502062497,3.25063152745565
01.01.1967,4.60393889012488,4.58620629297165,0.0177325971532252,2.67059023336935
01.04.1967,4.41210162866429,4.41741425732048,-0.00531262865619698,2.3289856439095
01.07.1967,4.45759152772959,4.41722640403378,0.0403651236958187,2.287968545269
01.10.1967,4.42362866142938,4.35168284258922,0.0719458188401616,2.33378362999724
01.01.1968,4.64750894965542,4.50755994454005,0.139949005115371,2.67884570606986
01.04.1968,4.71845540786806,4.55482880525765,0.163626602610408,3.03676260579061
01.07.1968,4.58722178500475,4.45380419706813,0.133417587936626,3.09223341266272
01.10.1968,4.44113902452779,4.32352944819425,0.117609576333545,2.97524718459169
01.01.1969,4.52343489342495,4.4358040211513,0.0876308722736551,2.82179735536931
01.04.1969,4.36659002324092,4.28587385577557,0.0807161674653472,2.74337312270859
01.07.1969,4.30830889656647,4.25826475961491,0.0500441369515578,2.39739660446492
01.10.1969,4.06541931884921,4.04708714917549,0.0183321696737217,1.82384924163102
01.01.1970,3.92329119432655,3.95580982964745,-0.0325186353208947,1.00600654207278
01.04.1970,3.86777177599166,3.9093090038567,-0.0415372278650381,0.371413181156527
01.07.1970,3.92996301412278,3.97700769291256,-0.0470446787897831,-0.0389874960596899
01.10.1970,3.65293927010176,3.62417602509176,0.0287632450100015,-0.182850214031419
01.01.1971,4.0421445554273,3.98778287347761,0.0543616819496856,-0.177678601615071
01.04.1971,3.82735766186115,3.83349067353068,-0.00613301166952958,0.0133924004754817
01.07.1971,3.64054688966608,3.75570016121155,-0.115153271545473,0.0413889669013088
01.10.1971,3.26812525996059,3.60428328382578,-0.336158023865195,-0.350050870194877
01.01.1972,3.48521947738735,3.71637450308631,-0.231155025698957,0.218659025547822
01.04.1972,3.55939340581537,3.8848238456166,-0.32543043980123,0.499528711042331
01.07.1972,3.44467943119915,3.77712785922006,-0.332448428020907,0.996203009483111
01.10.1972,3.47385763573391,3.85732572249099,-0.383468086757086,1.20947663767924
01.01.1973,3.70139119308055,4.06479333895241,-0.363402145871855,1.68434348781682
01.04.1973,3.89896188523205,3.97886284295808,-0.0799009577260332,2.72658920541778
01.07.1973,3.66646645241848,3.71881175808813,-0.0523453056696489,2.56643013182781
01.10.1973,3.85463796754215,3.81707908105759,0.0375588864845596,2.25594556710064
01.01.1974,3.7625503037022,3.57984347737911,0.182706826323089,1.9044960463018
01.04.1974,4.13246524942167,3.54497801850792,0.587487230913751,2.17354816125328
01.07.1974,4.16836975532084,3.29303126726334,0.875338488057503,2.13715789318928
01.10.1974,4.03662650128004,3.2272741344082,0.809352366871832,1.13562574671573
01.01.1975,3.53707191105815,3.00208777915058,0.534984131907574,-0.25976269490036
01.04.1975,3.30436646474289,3.08355198695275,0.220814477790147,-1.27575956301519
01.07.1975,3.27984245601599,3.19634488108213,0.0834975749338571,-1.16408303701212
01.10.1975,3.23892955986092,3.15933670707058,0.0795928527903387,-0.446128796807102
01.01.1976,3.3273060004105,3.2893712163183,0.0379347840921997,0.258842899693605
01.04.1976,2.99205444805809,3.15275691115936,-0.160702463101268,0.50586651206936
01.07.1976,2.94530071396032,3.00078976978673,-0.0554890558264113,1.21499302222253
01.10.1976,2.8858644893629,2.93721196635884,-0.0513474769959434,1.5145866642639
01.01.1977,2.97626872895892,2.95716613845238,0.019102590506549,1.97649839533369
01.04.1977,3.08899922441129,3.10926417829286,-0.0202649538815619,2.32841506209832
01.07.1977,3.21380128014993,3.19260560806624,0.0211956720836941,2.99069989243878
01.10.1977,2.8495403437797,2.99180749473183,-0.142267150952127,2.92685245706377
01.01.1978,2.74859059448404,2.90928208068907,-0.160691486205029,2.88194189475109
