rstar,g,z,output gap
01.01.1961,4.30562978291752,4.25651868875739,0.0491110941601275,-3.20803441323017
01.04.1961,4.30500716261972,4.25491474135552,0.0500924212641962,-3.02138954723659
01.07.1961,4.29460866310436,4.2471702312983,0.0474384318060617,-2.45616918341238
01.10.1961,4.27888523737399,4.23574564432047,0.0431395930535246,-1.79200014312562
01.01.1962,4.26130949595125,4.22196913464942,0.0393403613018275,-1.25560216082613
01.04.1962,4.24605708418907,4.2072330480134,0.0388240361756695,-1.01369266344489
01.07.1962,4.2407879190009,4.19835196626744,0.0424359527334572,-0.887437164831795
01.10.1962,4.24079193766055,4.19036590930078,0.050426028359772,-0.955002410072439
01.01.1963,4.25251183897294,4.19089221416261,0.0616196248103334,-0.89474654345122
01.04.1963,4.26544404259309,4.19190771981541,0.0735363227776838,-0.714977259903776
01.07.1963,4.27866883233649,4.19396503881338,0.0847037935231092,-0.339835715565073
01.10.1963,4.28421706096354,4.1876346862097,0.0965823747538389,-0.175510750493004
01.01.1964,4.29690815438561,4.18788589001272,0.109022264372892,0.162530581437522
01.04.1964,4.30144345933946,4.18006294737698,0.12138051196248,0.351539284052251
01.07.1964,4.30910641377645,4.17431489638929,0.134791517387158,0.545637154204996
01.10.1964,4.31449882597777,4.16530159654976,0.149197229428008,0.622929132356603
01.01.1965,4.32613351205388,4.16483966024892,0.161293851804962,1.1044903519072
01.04.1965,4.3218016784636,4.15295020456128,0.168851473902321,1.56506058550758
01.07.1965,4.31387493132978,4.14229516353836,0.171579767791422,2.23977784865156
01.10.1965,4.29160311376254,4.12390073214193,0.167702381620614,2.95134409162199
01.01.1966,4.25677333237038,4.09779764517546,0.158975687194916,3.48879267546431
01.04.1966,4.21235719559097,4.06204100669464,0.15031618889633,3.44408064866229
01.07.1966,4.17737948386267,4.03405058919347,0.143328894669196,3.26567505094033
01.10.1966,4.14170443516924,4.005775208927,0.13592922624224,3.02112487320574
01.01.1967,4.1048466328547,3.97668957332405,0.128157059530646,2.74388254632856
01.04.1967,4.06705088449441,3.94594586708172,0.121105017412687,2.37089136769998
01.07.1967,4.03516681036391,3.92143523766821,0.113731572695697,2.23429031588421
01.10.1967,3.99902634424307,3.89503638314742,0.103989961095648,2.27698363261709
01.01.1968,3.9603774213864,3.87032629121757,0.090051130168833,2.64494616433205
01.04.1968,3.90853194222941,3.8364672875419,0.0720646546875108,2.95741501422015
01.07.1968,3.85171081914823,3.79805072889324,0.0536600902549904,2.99678382529521
01.10.1968,3.79855307315788,3.76240965034111,0.0361434228167767,2.88804343962693
01.01.1969,3.74891666925098,3.73143884939011,0.0174778198608678,2.89768337055818
01.04.1969,3.69223942620555,3.69345417786873,-0.00121475166317855,2.63586936040804
01.07.1969,3.64263129698663,3.660300160969,-0.0176688639823797,2.22026425099853
01.10.1969,3.59570618530621,3.62642284528413,-0.0307166599779183,1.471901499659
01.01.1970,3.56093928203827,3.60112607940252,-0.0401867973642469,0.72385798868595
01.04.1970,3.53140539402858,3.57971595639455,-0.048310562365965,0.114381570269416
01.07.1970,3.5039113287068,3.56004957501251,-0.0561382463057102,-0.304526021839479
01.10.1970,3.47438920900088,3.53601733488317,-0.061628125882297,-0.818151504812022
01.01.1971,3.45966738712298,3.52815583593954,-0.0684884488165656,-0.579371367907584
01.04.1971,3.42464874436834,3.50181811942918,-0.0771693750608325,-0.47049811079205
01.07.1971,3.39832335632398,3.4814592445724,-0.0831358882484168,-0.292709822264328
01.10.1971,3.37600339909637,3.46406029470194,-0.08805689560557,-0.0588905352022948
01.01.1972,3.3594844443896,3.45557457348007,-0.0960901290904735,0.595499845238351
01.04.1972,3.33091768190844,3.44151188773289,-0.110594205824448,1.46687429630322
01.07.1972,3.29083516111071,3.42019204799071,-0.129356886879994,2.18140484332594
01.10.1972,3.2517306680467,3.40457240936258,-0.152841741315876,2.99547359203905
01.01.1973,3.20290489084658,3.38662031696282,-0.183715426116243,3.82553098191261
01.04.1973,3.14029500222719,3.35864256521513,-0.218347562987937,4.10703150117547
01.07.1973,3.0803297836325,3.33164327866363,-0.251313495031128,3.78028751980071
01.10.1973,3.03290456155293,3.31666891708711,-0.283764355534176,3.33450209474154
01.01.1974,2.98090505334495,3.29570872729622,-0.314803673951274,2.38758147068495
01.04.1974,2.94230188092084,3.28444115365819,-0.342139272737348,1.4035382269235
01.07.1974,2.9058442911269,3.27022464153456,-0.364380350407652,0.150553777780601
01.10.1974,2.88395067981084,3.26402281134837,-0.380072131537539,-1.06071394269395
01.01.1975,2.86954253535871,3.25959259807916,-0.390050062720454,-2.116766540507
01.04.1975,2.86904785496625,3.26709016577852,-0.398042310812266,-2.34804804063651
01.07.1975,2.8637414591399,3.27231602682705,-0.408574567687142,-1.91587662656877
01.10.1975,2.85124906458542,3.27191138810412,-0.420662323518696,-1.29735281607736
01.01.1976,2.83890986464291,3.27240271095069,-0.433492846307779,-0.580450564072976
01.04.1976,2.82113810520355,3.26559294842243,-0.444454843218881,-0.216585640775861
01.07.1976,2.81438819560727,3.26536997632885,-0.450981780721581,-0.0407958696710011
01.10.1976,2.81605070214567,3.27105936352923,-0.455008661383562,0.145879022998884
01.01.1977,2.82064399330268,3.27991196943621,-0.459267976133534,0.501118770781886
01.04.1977,2.82194546433983,3.28796684907357,-0.466021384733736,1.06078513587067
01.07.1977,2.81463701462045,3.28920342669315,-0.474566412072693,1.53412022384248
01.10.1977,2.80422274327424,3.28540880325599,-0.481186059981746,1.65029416155858
01.01.1978,2.80506510098714,3.29247479023575,-0.487409689248612,1.93485025090547
