rstar,g,z,output gap
01.01.1961,4.25448626068005,4.21953134415431,0.0349549165257434,-3.21408254820824
01.04.1961,4.25039643932295,4.21683742153726,0.0335590177856974,-3.00025393097962
01.07.1961,4.23733465491182,4.20789627290545,0.0294383820063687,-2.41233188008107
01.10.1961,4.21940552577788,4.19529619921014,0.0241093265677359,-1.72821730155181
01.01.1962,4.19980485357603,4.18055261748411,0.0192522360919219,-1.16935694618019
01.04.1962,4.18252947911158,4.16541084683797,0.017118632273613,-0.89773599609623
01.07.1962,4.17532877093122,4.15689131611993,0.0184374548112839,-0.737087385595373
01.10.1962,4.17360428524242,4.15014467815705,0.0234596070853648,-0.767100735490999
01.01.1963,4.18396763353469,4.15270514902295,0.0312624845117428,-0.67498517597835
01.04.1963,4.19601692114671,4.15619123072555,0.039825690421159,-0.470107248494855
01.07.1963,4.20878925055503,4.16088363065886,0.0479056198961696,-0.0768982633170481
01.10.1963,4.2140599618303,4.15742477757242,0.0566351842578844,0.105061123399992
01.01.1964,4.22664100835952,4.1607619029008,0.0658791054587265,0.45355179358512
01.04.1964,4.23120478042204,4.15608925153419,0.0751155288878435,0.65499354672977
01.07.1964,4.23899879419443,4.15372645064318,0.0852723435512456,0.860523519456933
01.10.1964,4.24466860166083,4.14833930413805,0.0963292975227766,0.948213016756995
01.01.1965,4.25696160018961,4.1513524306155,0.105609169574116,1.42591114662378
01.04.1965,4.25358858466937,4.14233935953558,0.111249225133784,1.87359888853041
01.07.1965,4.24675166181608,4.13379898125287,0.112952680563211,2.52428867880303
01.10.1965,4.22562571464668,4.11639748219845,0.109228232448231,3.20935785013364
01.01.1966,4.19176346127453,4.09031832212981,0.101445139144718,3.72775539058887
01.04.1966,4.14787625597704,4.05428521179919,0.0935910441778418,3.67987812377885
01.07.1966,4.1131789559132,4.02613257749817,0.087046378415029,3.5038133367882
01.10.1966,4.07787279513893,3.99766971922513,0.0802030759138037,3.26383257885971
01.01.1967,4.04157770711123,3.96843040351403,0.0731473035971999,2.99124372276117
01.04.1967,4.00457816343464,3.93773780055332,0.0668403628813272,2.62792238934617
01.07.1967,3.97399787624893,3.91346768828085,0.0605301879680871,2.50316627814198
01.10.1967,3.9399224985739,3.88731131749044,0.0526111810834666,2.55860462019007
01.01.1968,3.90421514937832,3.86263114920117,0.0415840001771505,2.93303448364111
01.04.1968,3.85600002294085,3.8284982092081,0.0275018137327475,3.2520710330499
01.07.1968,3.80315645015119,3.78990413142851,0.0132523187226784,3.29908944124929
01.10.1968,3.75424203811007,3.75434822687762,-0.000106188767552473,3.19679264355614
01.01.1969,3.70923931440689,3.72346833747377,-0.0142290230668862,3.21405486643425
01.04.1969,3.65742287312552,3.68569258949314,-0.028269716367627,2.96863663667273
01.07.1969,3.61269119388897,3.65318138675241,-0.0404901928634432,2.56381533988588
01.10.1969,3.5703620483707,3.62040335490288,-0.0500413065321794,1.81661148109436
01.01.1970,3.53971300209547,3.59654778267012,-0.056834780574651,1.05936579522518
01.04.1970,3.51385822175491,3.57654038840929,-0.0626821666543716,0.43434147042376
01.07.1970,3.48963102986907,3.55805247218226,-0.0684214423131888,-0.00234770273141294
01.10.1970,3.46290791291492,3.53523317173095,-0.0723252588160225,-0.525648797953181
01.01.1971,3.45107540710313,3.52834658840101,-0.0772711812978831,-0.298912268554659
01.04.1971,3.41919343522189,3.50272078049927,-0.0835273452773871,-0.178348091040789
01.07.1971,3.39635244317819,3.48367412381284,-0.0873216806346426,0.0238512931766763
01.10.1971,3.3782501167106,3.46818122897947,-0.0899311122688658,0.270564040957652
